ID_EVC,DISTRICT_NUMBER,DISTRICT_NAME,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,AD_NAME,AD_NUMBER,LOCATION,CAPACITY,SOCKET_TYPE,SOCKET_NUMBER,OPERATOR
55,3,RETIRO,34,IBIZA,CALLE IBIZA,1,VÍA PÚBLICA,1,CHAdeMO,3,REPSOL
55,,,,,,,,,Dual_Mennekes,,
56,3,RETIRO,35,JERÓNIMOS,PLAZA DE LA LEALTAD,S/N,VÍA PÚBLICA,1,CHAdeMO,3,GIC
56,,,,,,,,,Dual_Mennekes,,
57,11,CARABANCHEL,116,BUENAVISTA,CALLE HILARIO HERRANZ ESTABLOS,20,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,ENDESA
57,,,,,,,,,Dual_Mennekes,,
58,9,MONCLOA - ARAVACA,92,ARGÜELLES,CALLE MARQUÉS DE URQUIJO,27,APARCAMIENTO,1,CHAdeMO,3,ENDESA
58,,,,,,,,,Dual_Mennekes,,
59,17,VILLAVERDE,171,"VILLAVERDE ALTO, CASCO HISTÓRICO DE VILLAVERDE",CALLE VALLE DE TOBALINA,24,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,IBERDROLA
59,,,,,,,,,Dual_Mennekes,,
60,6,TETUÁN,62,CUATRO CAMINOS,CALLE BRAVO MURILLO,122,APARCAMIENTO,2,CHAdeMO,3,DRIVE THE CITY
60,,,,,,,,,Dual_Mennekes,,
61,12,USERA,122,ORCASUR,CALLE DE EDUARDO BARREIROS,2,APARCAMIENTO,1,CHAdeMO,3,ENDESA
61,,,,,,,,,Dual_Mennekes,,
62,12,USERA,122,ORCASUR,CARRETERA A-4. P.K. 6.70 D,S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
62,,,,,,,,,Dual_Mennekes,,
63,16,HORTALEZA,165,APOSTOL SANTIAGO,AVENIDA DE SAN LUIS,77,APARCAMIENTO,1,CHAdeMO,3,NATURGY
63,,,,,,,,,Dual_Mennekes,,
64,18,VILLA DE VALLECAS,181,CASCO HISTÓRICO DE VALLECAS,CALLE 29,S/N,APARCAMIENTO,3,CHAdeMO,3,DRIVE THE CITY
64,,,,,,,,,Dual_Mennekes,,
65,15,CIUDAD LINEAL,157,COLINA,CALLE ARTURO SORIA,175,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
65,,,,,,,,,Dual_Mennekes,,
66,15,CIUDAD LINEAL,155,SAN PASCUAL,CALLE VERDAGUER Y GARCIA,5,APARCAMIENTO,1,CHAdeMO,3,ENDESA
66,,,,,,,,,Dual_Mennekes,,
67,14,MORATALAZ,143,MARROQUINA,GLORIETA CORREGIDOR SANCHO DE CÓRDOBA,S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
67,,,,,,,,,Dual_Mennekes,,
68,20,SAN BLAS - CANILLEJAS,201,SIMANCAS,CALLE ALCALÁ,510,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
68,,,,,,,,,Dual_Mennekes,,
69,18,VILLA DE VALLECAS,183,ENSANCHE DE VALLECAS,CALLE ALTO DEL RETIRO,S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,ENDESA
69,,,,,,,,,Dual_Mennekes,,
70,20,SAN BLAS - CANILLEJAS,206,REJAS,CALLE DEYANIRA,10,APARCAMIENTO,1,CHAdeMO,3,NATURGY
70,,,,,,,,,Dual_Mennekes,,
