ID_EVC,DISTRICT_NUMBER,DISTRICT_NAME,WIKIDATA_DISTRICT,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,WIKIDATA_NEIGHBOURHOOD,AD_NAME,AD_NUMBER,LOCATION,CAPACITY,SOCKET_TYPE,SOCKET_NUMBER,OPERATOR,WIKIDATA_OPERATOR
31,10,Latina,https://wikidata.org/wiki/Q794954,106,Cuatro Vientos,https://wikidata.org/wiki/Q5191881,AVENIDA DE LA PESETA,6,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
31,,,,,,,,,,,Dual_Mennekes,,,
32,10,Latina,https://wikidata.org/wiki/Q794954,107,Las Águilas,https://wikidata.org/wiki/Q5971372,CALLE DE JOSÉ DE CADALSO,51,APARCAMIENTO,1,CHAdeMO,3,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
32,,,,,,,,,,,Dual_Mennekes,,,
33,13,Puente de Vallecas,https://wikidata.org/wiki/Q2003054,134,Palomeras Sureste,https://wikidata.org/wiki/Q10343901,AVENIDA DE LA ALBUFERA,319,APARCAMIENTO,2,CHAdeMO,3,Ecolineras,https://wikidata.org/wiki/Q114758119
33,,,,,,,,,,,Dual_Mennekes,,,
34,16,Hortaleza,https://wikidata.org/wiki/Q1928529,166,Valdefuentes,https://wikidata.org/wiki/Q10388714,AVENIDA MARÍA DE PORTUGAL,15,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,Iberdrola,https://wikidata.org/wiki/Q1437502
34,,,,,,,,,,,Dual_Mennekes,,,
35,17,Villaverde,https://wikidata.org/wiki/Q919536,173,Butarque,https://wikidata.org/wiki/Q390453,AVDA. DE LOS ROSALES,147,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
35,,,,,,,,,,,Dual_Mennekes,,,
36,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,183,Ensanche de Vallecas,https://wikidata.org/wiki/Q3847485,AVENIDA REAL DE ARGANDA,74,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
36,,,,,,,,,,,Dual_Mennekes,,,
37,20,San Blas,https://wikidata.org/wiki/Q2001937,206,Rejas,https://wikidata.org/wiki/Q10359029,"BARAJAS II A2 KM 12,6",S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
37,,,,,,,,,,,Dual_Mennekes,,,
38,1,Centro,https://wikidata.org/wiki/Q1763376,16,Sol,https://wikidata.org/wiki/Q2465181,PLAZA DE JACINTO BENAVENTE,6,APARCAMIENTO,1,CHAdeMO,3,Empresa Municipal de Transportes de Madrid,https://wikidata.org/wiki/Q1094755
38,,,,,,,,,,,Dual_Mennekes,,,
39,4,Salamanca,https://wikidata.org/wiki/Q1773521,41,Recoletos,https://wikidata.org/wiki/Q3814551,JARDINES DEL DESCUBRIMIENTO - ACCESO A COMPLEJO DE APARCAMIENTOS SUBTERRÁNEOS POR CALLE DE LA ARMADA ESPAÑOLA,S/N,VÍA PÚBLICA,4,CHAdeMO,3,Empresa Municipal de Transportes de Madrid,https://wikidata.org/wiki/Q1094755
39,,,,,,,,,,,Dual_Mennekes,,,
40,4,Salamanca,https://wikidata.org/wiki/Q1773521,45,Lista,https://wikidata.org/wiki/Q4779,PLAZA DE MARQUÉS DE SALAMANCA,S/N,APARCAMIENTO,1,CHAdeMO,3,Empresa Municipal de Transportes de Madrid,https://wikidata.org/wiki/Q1094755
40,,,,,,,,,,,Dual_Mennekes,,,
41,5,Chamartín,https://wikidata.org/wiki/Q1766348,56,Castilla,https://wikidata.org/wiki/Q3813735,CALLE HIEDRA,36,APARCAMIENTO,1,CHAdeMO,3,Empresa Municipal de Transportes de Madrid,https://wikidata.org/wiki/Q1094755
41,,,,,,,,,,,Dual_Mennekes,,,
42,1,Centro,https://wikidata.org/wiki/Q1763376,11,Palacio,https://wikidata.org/wiki/Q2136510,PLAZA DE LA CEBADA,S/N,APARCAMIENTO,1,CHAdeMO,2,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
43,1,Centro,https://wikidata.org/wiki/Q1763376,15,Universidad,https://wikidata.org/wiki/Q10387767,CALLE ALBERTO AGUILERA,9,ESTACIÓN DE SERVICIO,1,CHAdeMO,2,Repsol,https://wikidata.org/wiki/Q174747
44,3,Retiro,https://wikidata.org/wiki/Q2002296,32,Adelfas,https://wikidata.org/wiki/Q3774001,PLAZA DEL CONDE DE CASAL,6,APARCAMIENTO,2,CHAdeMO,2,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
45,8,Fuencarral-El Pardo,https://wikidata.org/wiki/Q656196,88,El Goloso,https://wikidata.org/wiki/Q10271137,CALLE DEL MONASTERIO DE ARLANZA,20,APARCAMIENTO,2,CHAdeMO,2,Iberdrola,https://wikidata.org/wiki/Q1437502
46,16,Hortaleza,https://wikidata.org/wiki/Q1928529,163,Canillas,https://wikidata.org/wiki/Q9694341,AVENIDA DE MACHUPICHU,105,ESTACIÓN DE SERVICIO,1,CHAdeMO,2,GIC,https://wikidata.org/wiki/Q114757945
47,16,Hortaleza,https://wikidata.org/wiki/Q1928529,166,Valdefuentes,https://wikidata.org/wiki/Q10388714,AVENIDA DE NICETO ALCALA ZAMORA,20,ESTACIÓN DE SERVICIO,1,CHAdeMO,2,GIC,https://wikidata.org/wiki/Q114757945
48,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,181,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,AVENIDA EJE CENTRAL,7,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,naturgy,https://wikidata.org/wiki/Q474690
48,,,,,,,,,,,Dual_Mennekes,,,
49,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,181,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,CARRETERA DE VILLAVERDE A VALLECAS,278,ESTACIÓN DE SERVICIO,1,CHAdeMO,2,Repsol,https://wikidata.org/wiki/Q174747
50,21,Barajas,https://wikidata.org/wiki/Q807230,215,Corralejos,https://wikidata.org/wiki/Q10260772,AVENIDA DEL CONSEJO DE EUROPA,2,ESTACIÓN DE SERVICIO,4,Other,1,GIC,https://wikidata.org/wiki/Q114757945
51,21,Barajas,https://wikidata.org/wiki/Q807230,215,Corralejos,https://wikidata.org/wiki/Q10260772,AVENIDA DEL PARTENÓN,5,APARCAMIENTO,2,CHAdeMO,2,Iberdrola,https://wikidata.org/wiki/Q1437502
52,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,181,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,AVENIDA DE LEGAZPI,S/N,MERCAMADRID,2,CHAdeMO,3,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
52,,,,,,,,,,,Dual_Mennekes,,,
53,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,181,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,AVDA LEGAZPI,S/N,MERCAMADRID,1,CHAdeMO,3,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
53,,,,,,,,,,,Dual_Mennekes,,,
