tipo_establecimiento,tipo_titularidad,municipio_codigo,municipio_nombre,direccion_establecimiento,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_piso,direccion_puerta,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso,codigo_dea
Instalaciones de transporte,Publica,079,Madrid,AVDA de la Albufera 248  ,AVDA,Albufera,248,,,28038,DENTRO ESTACION DE METRO ALTO DEL ARENAL PUESTO DE CONTROL CENTRAL,445235,4471262,24H,2018-2833
Centro educativo,Publica,079,Madrid,CALLE del Doctor Mata 2  ,CALLE,Doctor Mata,2,,,28012,Entrada ,441102,4473381,,2020-165
Otros,Publica,065,Getafe,"CTRA Toledo 12,500  ",CTRA,Toledo,"12,500",,,28900,CAFETERIA PUBLICA HOSPITAL UNIVERSITARIO DE GETAFE ,436835,4462636,7-23,2020-190
Instalaciones de transporte,Publica,079,Madrid,PASEO de la Castellana 101  ,PASEO,Castellana,101,,,28046,DENTRO DE LA ESTACION DE METRO SANTIAGO BERNABEU EN VESTIBULO SANTIAGO BERNABEU,441373,4478079,,2018-2811
Centro de trabajo con mas de 250 trabajadores,Publica,123,Rivas-Vaciamadrid,CALLE Mariano Fortuny 2  ,CALLE,Mariano Fortuny,2,,,28522,RIVASVACIAMADRID EMPRESA MUNICIPAL DE SERVICIOS ,454765,4466107,DE 5 A 22,2020-315
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,005,Alcala de Henares,AVDA de Madrid 9  ,AVDA,Madrid,9,,,28802,EN EDIFICIO VESTUARIOS FUTBOL CIUDAD DEPORTIVA EL JUNCAL CIUDAD DEPORTIVA MUNICIPAL,466875,4480538,"9,00h a 22,00h (l-v) 9,00h a 21,00h (s,d,f)",2018-576
Establecimiento dependiente de una Administracion Publica,Publica,148,Torrejon de Ardoz,AVDA Madrid 7  ,AVDA,Madrid,7,,,28850,AL LADO DE RECEPCION CENTRO 3ª EDAD AVENIDA DE MADRID,458947,4479417,9:00 - 18:00,2019-2673
Otros,Publica,092,Mostoles,CALLE Fragua 13  ,CALLE,Fragua,13,,,28933,AYUNTAMIENTO DE MOSTOLES VEHICULO POLICIA MUNICIPAL MATRICULA 6448-LKM,426893,4466062,,2021-13
Otros,Publica,092,Mostoles,CALLE Fragua 13  ,CALLE,Fragua,13,,,28933,AYUNTAMIETO DE MOSTOLES VEHICULO DE POLICIA MUNICIPAL M-8 MATRICULA 9271-LLB,426893,4466062,,2021-14
Otros,Publica,075,Loeches,CALLE San Lorenzo 48  ,CALLE,San Lorenzo,48,,,28890,NAVE MANTENIMIENTO ,464759,4470327,,2021-27
Otros,Publica,075,Loeches,AVDA de la Constitucion 2  ,AVDA,Constitucion,2,,,28890,BIBLIOTECA ,465230,4470432,,2021-33
Instalaciones de transporte,Publica,079,Madrid,PASEO de Gigantes y Cabezudos 0  ,PASEO,Gigantes y Cabezudos,0,,,28041,DENTRO ESTACION DE METRO CIUDAD DE LOS ANGELES EN VESTIBULO,441101,4467949,,2018-2923
Instalaciones de transporte,Publica,079,Madrid,CALLE de Andorra 41  ,CALLE,Andorra,41,,,28043,DENTRO DE LA ESTACION DE ESPERANZA EN VESTIBULO,445242,4478966,,2018-2960
Instalaciones de transporte,Publica,079,Madrid,AVDA de America 9  ,AVDA,America,9,,,28002,DENTRO DE ESTACION AVENIDA DE AMERICA PASILLO DISTRIBUCION JUNTO A VESTIBULO AVDA. DE AMERICA,442572,4476562,6:00 A 1:30,2018-2777
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 33 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-413
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 34 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-414
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 35 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-415
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 36 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-416
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 42 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-422
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 124 E.M.T.,442158,4481299,,2020-424
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 126 E.M.T.,442158,4481299,,2020-425
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 128 E.M.T.,442158,4481299,,2020-426
Instalaciones de transporte,Publica,079,Madrid,CALLE de Clara del Rey 81  ,CALLE,Clara del Rey,81,,,28002,"DENTRO DE LA ESTACION DE ALFONSO XIII, EN VESTIBULO ",443367,4477719,24 HORAS- ABIERTO AL PUBLICO DE 6:00 A 1:30,2018-2961
Establecimiento dependiente de una Administracion Publica,Publica,005,Alcala de Henares,AVDA Virgen del Val 8  ,AVDA,Virgen del Val,8,,,28804,PISCINA DE VERANO DEL VAL EN BOTIQUIN AYTO ALCALA DE HENARES,470713,4481478,"12,00h a 20,00h l-d solo en verano",2018-3020
Instalaciones de transporte,Publica,079,Madrid,CALLE del Valle de Tobalina 0  ,CALLE,Valle de Tobalina,0,,,28021,DENTRO DE LAESTACION VILLAVERDE ALTO EN VESTIBULO METRO DE MADRID,439467,4465847,,2018-3090
Otros,Publica,079,Madrid,PASEO EL PARDO / GUARDIA REAL CUERPO GUARDIA CUARTEL DE REINA / PRINCIP 43  ,PASEO,EL PARDO / GUARDIA REAL CUERPO GUARDIA CUARTEL DE REINA / PRINCIP,43,,,28048,E - CASETA PRINCIPAL,433973,4486528,24H,2019-2911
Establecimiento dependiente de una Administracion Publica,Publica,903,Tres Cantos,AVDA de la Luz 0  ,AVDA,Luz,0,,,28760,PISCINA CUBIERTA LA LUZ AYUNTAMIENTO DE TRES CANTOS,440359,4495275,,2020-41
Establecimiento dependiente de una Administracion Publica,Publica,903,Tres Cantos,SECT Literatos 11  ,SECT,Literatos,11,,,28760,POLIDEPORTIVO MIGUEL DE CERVANTES AYUNTAMIENTO DE TRES CANTOS,439942,4495551,,2020-42
Centro educativo,Publica,903,Tres Cantos,SECT Musicos 11  ,SECT,Musicos,11,,,28760,COLEGIO GARCIA MARQUEZ AYUNTAMIENTO DE TRES CANTOS,439237,4495546,,2020-43
Establecimiento dependiente de una Administracion Publica,Publica,903,Tres Cantos,SECT Islas 25  ,SECT,Islas,25,,,28760,CENTRO DEPORTIVO ISLAS AYUNTAMIENTO DE TRES CANTOS,440644,4493806,,2020-45
Instalaciones de transporte,Publica,058,Fuenlabrada,CMNO del Molino 0  ,CMNO,Molino,0,,,28942,DENTRO DE LA ESTACION HOSPITAL DE FUENLABRADA EN VESTIBULO,430595,4459793,,2018-3137
Instalaciones de transporte,Publica,079,Madrid,AVDA de la Capital de Espana Madrid 0  ,AVDA,Capital de Espana Madrid,0,,,28042,DENTRO DE LA ESTACION DE FERIA DE MADRID EN EL VESTIBULO PRINCIPAL,447760,4479378,,2018-2690
Instalaciones de transporte,Publica,079,Madrid,CALLE de Velazquez 92  ,CALLE,Velazquez,92,,,28006,DENTRO DE LA ESTACION DE NUNEZ DE BALBOA EN EL PASILLO DE COMUNICACION L5,442060,4476019,,2018-2763
Instalaciones de transporte,Publica,079,Madrid,CALLE de Velazquez 92  ,CALLE,Velazquez,92,,,28006,DENTRO ESTACION NUNEZ DE BALBOA VESTIBULO DE MARQUES DE SALAMANCA,442060,4476019,DE 6:00 A 1:30 H,2018-2764
Establecimiento publico con aforo igual o superior a 2000 personas,Publica,148,Torrejon de Ardoz,CALLE Canada S/N  ,CALLE,Canada,S/N,,,28850,PARQUE EUROPA AYUNTAMIENTO TORREJON DE ARDOZ,461577,4477684,LUNES A DOMINGO DE 9:00 A 22:00H.,2020-712
Otros,Publica,075,Loeches,AVDA Maria Moliner 1  ,AVDA,Maria Moliner,1,,,28890,CENTRO MAYORES Y SERV. SOCIALES ,464809,4470596,,2021-35
Instalaciones de transporte,Publica,079,Madrid,AVDA de la Barranquilla 11  ,AVDA,Barranquilla,11,,,28033,"DENTRO DE LA ESTACION DE SAN LORENZO, EN VESTIBULO METRO DE MADRID",445788,4480626,,2018-2927
Instalaciones de transporte,Publica,079,Madrid,AVDA de Cordoba 0  ,AVDA,Cordoba,0,,,28041,"EN GLORIETA DE MALAGA.ESTACION DE METRO HOSPITAL 12 DE OCTUBRE, EN VESTIBULO ACCESO A ANDEN 2 DE LINEA 3",440927,4469665,,2020-814
Instalaciones de transporte,Publica,079,Madrid,CALLE de Miguel Angel 33  ,CALLE,Miguel Angel,33,,,28010,DENTRO ESTACION METRO GREGORIO MARANON ANDEN II LINEA 10,441365,4476589,DE 6:00 A 1:30 H,2018-2784
Centro educativo,Publica,084,Mejorada del Campo,CALLE de la Ciudad de Paris 24 BAJA ,CALLE,Ciudad de Paris,24,BAJA,,28840,CEIP HENARES JUNTO A PUERTA DE ACCESO A LA VIVIENDA DE CONSERJERIA,459206,4471913,,2017-53
Centro educativo,Publica,079,Madrid,CALLE de Pont de Molins 31 BAJA ,CALLE,Pont de Molins,31,BAJA,,28038,EN EL HALL DE ENTRADA COLEGIO PUBLICO BILINGUE MESONERO ROMANOS,445261,4471635,,2018-585
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CTRA RECEPCION NAVE ENSAYOS 7  ,CTRA,RECEPCION NAVE ENSAYOS,7,,,28031,,440496,4472971,,2019-2715
Centro educativo,Publica,161,Valdemoro,CALLE Artemisa S/N  ,CALLE,Artemisa,S/N,,,28341,HALL EDIFICIO PRINCIPAL C.E.I.P. PEDRO ANTONIO DE ALARCON,442063,4448558,7-21,2018-2389
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 59 E.M.T.,442158,4481299,,2020-401
Establecimiento dependiente de una Administracion Publica,Publica,074,Leganes,CALLE del Maestro 14  ,CALLE,Maestro,14,,,28914,SERVICIO DE INSPECCION. S.G.T. CONSEJERIA DE EDUCACION,436760,4464542,,2020-403
Instalaciones de transporte,Publica,079,Madrid,PLAZA de Santa Cristina 2  ,PLAZA,Santa Cristina,2,,,28011,"DENTRO ESTACION PUERTA DEL ANGEL, EN VESTIBULO ",438300,4473976,,2018-3095
Instalaciones de transporte,Publica,079,Madrid,PASEO de Extremadura 156  ,PASEO,Extremadura,156,,,28011,DENTRO ESTACION ALTO DE EXTREMADURA EN PASILLO ACCESO ANDENES LINEA 6,437297,4473518,,2018-3094
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Jorge Juan 106  ,CALLE,Jorge Juan,106,,,28009,PLANTA 3ª - IMPRENTA- INFORMATICA ENTRADA CAU ,443066,4474922,,2020-338
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 13 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-377
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 14 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-378
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 15 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-379
Instalaciones de transporte,Publica,079,Madrid,CALLE de Alcala 640  ,CALLE,Alcala,640,,,28022,DENTRO ESTACION CANILLEJAS VESTIBULO PRINCIPAL CANILLEJAS,448432,4477780,,2018-2967
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 56 ,442158,4481299,05:00-00:30,2020-407
Centro de trabajo con mas de 250 trabajadores,Publica,079,Madrid,CALLE de la Poeta Angela Figuera 3  ,CALLE,Poeta Angela Figuera,3,,,28003,AGENCIA ESTATAL DE ADMINISTRACION TRIBUTARIA ,439536,4477361,9 A 21 DIAS LABORABLES,2020-659
Centro de trabajo con mas de 250 trabajadores,Publica,079,Madrid,CALLE de Santa Maria Magdalena 16  ,CALLE,Santa Maria Magdalena,16,,,28016,AGENCIA ESTATAL DE ADMINSTRACION TRIBUTARIA ,443191,4479336,7 A 21 DIAS LABORABLES,2020-660
Centro de trabajo con mas de 250 trabajadores,Publica,079,Madrid,CALLE de la Infanta Mercedes 37  ,CALLE,Infanta Mercedes,37,,,28020,AGENCIA ESTATAL DE ADMINISTRACION TRIBUTARIA ,440760,4478554,DE 7 A 21 DIAS LABORABLES,2020-661
Centro de trabajo con mas de 250 trabajadores,Publica,079,Madrid,AVDA del Llano Castellano 17  ,AVDA,Llano Castellano,17,,,28034,AGENCIA ESTATAL DE ADMNISTRACION TRIBUTARIA ,441949,4482051,DE 7 A 21 DIAS LABORABLES,2020-662
Instalaciones de transporte,Publica,079,Madrid,CALLE de la Princesa 56  ,CALLE,Princesa,56,,,28008,"DENTRO DE LA EST. DE ARGUELLES, EN PASILLO ACCESO A ANDENES DE LI NEA 6",439275,4475767,24h,2020-177
Establecimiento dependiente de una Administracion Publica,Publica,123,Rivas-Vaciamadrid,CALLE  1  ,CALLE,,1,,,28522,,455257,4467659,,2020-319
Establecimiento dependiente de una Administracion Publica,Publica,123,Rivas-Vaciamadrid,CALLE  2  ,CALLE,,2,,,28521,,455567,4464909,,2020-320
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 30 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-404
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 63 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-470
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 64 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-472
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 65 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-474
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 16 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-380
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 52 E.M.T.,442158,4481299,,2020-383
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 53 E.M.T.,442158,4481299,,2020-384
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 51 E.M.T.,442158,4481299,,2020-385
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 54 E.M.T.,442158,4481299,,2020-386
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 49 E.M.T.,442158,4481299,,2020-396
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 28 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-400
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 29 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-402
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 122 E.M.T.,442158,4481299,,2020-423
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 139 E.M.T.,442158,4481299,,2020-445
Instalaciones de transporte,Publica,079,Madrid,CALLE Estacion Cercanias San Cristobal Industrial 0  ,CALLE,Estacion Cercanias San Cristobal Industrial,0,,,28021,,440651,4464830,,2019-2879
Instalaciones de transporte,Publica,058,Fuenlabrada,CALLE Francia 34  ,CALLE,Francia,34,,,28943,DENTRO DE LA ESTACION PARQUE EUROPA EN EL VESTIBULO,431492,4459719,,2018-3139
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 172 E.M.T.,442158,4481299,DE 5 A 0.30,2020-502
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 171 E.M.T.,442158,4481299,DE 5 A 0.30,2020-503
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 152 E.M.T.,442158,4481299,DE 5 A 0.30,2020-523
Otros,Publica,148,Torrejon de Ardoz,AVDA Constitucion 83  ,AVDA,Constitucion,83,,,28850,CAID AYUNTAMIENTO DE TORREJON DE ARDOZ,459748,4478618,,2020-697
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 50 E.M.T.,442158,4481299,,2020-388
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 40 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-420
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 41 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-421
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 142 E.M.T.,442158,4481299,DE 5 A 0.30,2020-533
Instalaciones de transporte,Publica,079,Madrid,CALLE de San Modesto 10  ,CALLE,San Modesto,10,,,28034,"DENTRO DE LA ESTACION DE METRO BEGONA, EN EL VESTIBULO BEGONA/SAN MODESTO",441865,4481285,,2018-3180
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 138 E.M.T.,442158,4481299,,2020-446
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 137 E.M.T.,442158,4481299,,2020-447
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 136 E.M.T.,442158,4481299,,2020-448
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 62 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-467
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 68 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-480
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 69 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-481
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 70 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-482
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 71 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-483
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 72 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-484
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 73 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-485
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 74 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-486
Instalaciones de transporte,Publica,079,Madrid,CALLE de Alcala 373  ,CALLE,Alcala,373,,,28027,DENTRO DE ESTACION PUEBLO NUEVO PASILLO ACCESO ANDENES LINEA 7,445392,4476266,,2018-3071
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 127 E.M.T.,442158,4481299,,2020-428
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 125 E.M.T.,442158,4481299,,2020-429
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 123 E.M.T.,442158,4481299,,2020-430
Establecimiento dependiente de una Administracion Publica,Publica,127,Las Rozas de Madrid,PASEO Alemanes 31  ,PASEO,Alemanes,31,,,28290,"CENTRO DE MAYORES ""EL PARQUE"" AYUNTAMIENTO DE LAS ROZAS",424336,4489561,,2019-299
Centro educativo,Publica,079,Madrid,CTRA de Canillas 51  ,CTRA,Canillas,51,,,28043,C.E.P. PRINCESA SOFIA ,445309,4447946,,2020-713
Establecimiento dependiente de una Administracion Publica,Publica,005,Alcala de Henares,CALLE Siguenza   ,CALLE,Siguenza,,,,28804,SERVICIOS SOCIALES ,470413,4481819,L-V 8:00 -14:00,2018-1445
Establecimiento dependiente de una Administracion Publica,Publica,005,Alcala de Henares,AVDA Virgen del Val 4  ,AVDA,Virgen del Val,4,,,28804,CASA DE LA JUVENTUD ,470024,4481330,L-V  9-14:00 S9.30-14:00 Y d: 17:00-20:00,2018-1441
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,148,Torrejon de Ardoz,AVDA Constitucion 193  ,AVDA,Constitucion,193,,,28850,"CAMPOS DE FUTBOL JOSE Mª GUTIERREZ ""GUTI"" ESQ. HNOS PINZON - AYUNTAMIENTO TORREJON DE ARDOZ",462060,4479332,L-V 16.30-22.00 S y D SEGUN PARTIDOS,2020-716
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,148,Torrejon de Ardoz,CALLE Salvador Allende S/N  ,CALLE,Salvador Allende,S/N,,,28850,CAMPO DE FUTBOL LAS FRONTERAS AYUNTAMIENTO DE TORREJON DE ARDOZ,458821,4478731,L-V 17.30-20.30 S y D SEGUN PARTIDOS,2020-717
Instalaciones de transporte,Publica,079,Madrid,CALLE del Camino de los Vinateros 70  ,CALLE,Camino de los Vinateros,70,,,28030,"DENTRO DE LA ESTACION DE METRO VINATEROS, EN EL VESTIBULO VINATER OS/ARROYO BELINCOSO",444837,4473452,,2019-42
Instalaciones de transporte,Publica,079,Madrid,"CALLE DENTRO DE LA ESTACION DE METRO ARTILLEROS, EN EL VESTIBULO JUAN D 119  ",CALLE,"DENTRO DE LA ESTACION DE METRO ARTILLEROS, EN EL VESTIBULO JUAN D",119,,,28030,E BOBADILLA,445347,4473132,,2019-43
Instalaciones de transporte,Publica,079,Madrid,PASEO de la Castellana 101  ,PASEO,Castellana,101,,,28046,"METRO DE MADRID DENTRO DE METRO SANTIAGO BERNABEU, EN VESTIBULO PL DE LIMA",441373,4478079,,2020-318
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 97 E.M.T.,442158,4481299,DE 5 A 0.30,2020-549
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 75 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-487
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 76 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-488
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 77 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-489
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 78 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30,2020-490
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 170 E.M.T.,442158,4481299,"DE 5 A 0,30",2020-504
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 169 E.M.T.,442158,4481299,"DE 5 A 0,30",2020-505
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 168 E.M.T.,442158,4481299,DE 5 A 0.30,2020-506
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 167 E.M.T.,442158,4481299,DE 5 A 0.30,2020-507
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 166 E.M.T.,442158,4481299,DE 5 A 0.30,2020-508
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 165 E.M.T.,442158,4481299,DE 5 A 0.30,2020-509
Otros,Publica,079,Madrid,CALLE de Mauricio Legendre 42  ,CALLE,Mauricio Legendre,42,,,28046,AUTOBUS 164 E.M.T.,442158,4481299,DE 5 A 0.30,2020-510
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE CENTRO INTERNACIONAL DE PRENSA 69 1 F,CALLE,CENTRO INTERNACIONAL DE PRENSA,69,1,F,28040,,442707,4476227,,2020-150
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,AVDA de Puerta de Hierro S/N  ,AVDA,Puerta de Hierro,S/N,,,28040,"COMPLEJO DE LA MONCLOA, EDIFICIO PORTAVOZ ",437572,4477472,,2020-151
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,AVDA de Puerta de Hierro S/N  ,AVDA,Puerta de Hierro,S/N,,,28040,"COMPLEJO DE LA MONCLOA, EDIFICIO ANEXO I ",437663,4477393,,2020-152
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,AVDA de Puerta de Hierro S/N  ,AVDA,Puerta de Hierro,S/N,,,28040,"COMPLEJO DE LA MONCLOA, EDIFICIO ANEXO II ",437629,4477370,24 H,2020-153
Instalaciones de transporte,Publica,079,Madrid,CALLE del Doctor Esquerdo 62  ,CALLE,Doctor Esquerdo,62,,,28006,DENTRO ESTACION SAINZ DE BARANDA EN EL PASILLO DE DISTRIBUCION NIVEL 2,443186,4474091,DE 6:00 A 1:30 H ,2018-2766
