tipo_establecimiento,tipo_titularidad,municipio_codigo,municipio_nombre,direccion_establecimiento,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_piso,direccion_puerta,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso,codigo_dea
Otros,Publica,096,Navalcarnero,CALLE del Pozo del Concejo 9  ,CALLE,Pozo del Concejo,9,,,28600,CENTRO TERCERA EDAD EN EL HALL DE ENTRADA,413772,4460110,10:00 A 13:00 Y 15:30 A 20:00,2017-120
Centro educativo,Publica,096,Navalcarnero,CALLE de Monteclaro s/n  ,CALLE,Monteclaro,s/n,,,28600,CEIP FELIPE IV HALL DE ENTRADA,413507,4460644,HORARIO LECTIVO,2017-126
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,096,Navalcarnero,CALLE de Camilo Jose Cela s/n  ,CALLE,Camilo Jose Cela,s/n,,,28600,CAMPO DE FUTBOL LOS MANZANOS EN LA ENTRADA A VESTUARIOS,412992,4459745,9:00 A 23:00,2017-128
Establecimiento dependiente de una Administracion Publica,Publica,113,Pinto,CALLE Asturias s/n  ,CALLE,Asturias,s/n,,,28320,PISTAS MUNICIPALES DE TENIS JUNTO A MOSTRADOR DE CONSERJERIA,441258,4456164,09:00 A 21:00,2017-8
Establecimiento dependiente de una Administracion Publica,Publica,113,Pinto,CALLE Italia 6  ,CALLE,Italia,6,,,28320,EDIFICIO CONCEJALIA EDUCACION HALL PRINCIPAL DE ENTRADA,440932,4455914,08:00 A 20:00,2017-20
Centro educativo,Publica,113,Pinto,CALLE Francisco Bores S/N  ,CALLE,Francisco Bores,S/N,,,28320,ESCUELA MUNICIPAL DE MUSICA HALL DE ENTRADA FRENTE MOSTRADOR ATENCION PUBLICO,440554,4456429,16:00A 22:00,2017-21
Centro de trabajo con mas de 250 trabajadores,Publica,115,Pozuelo de Alarcon,PASEO del Principe 3  ,PASEO,Principe,3,,,28223,RADIOTELEVISION MADRID PLANTA 0 JUNTO A HALL DE RECEPCION,433091,4472101,,2017-25
Establecimiento publico con aforo igual o superior a 2000 personas,Publica,022,Boadilla del Monte,AVDA de Isabel de Farnesio 16  ,AVDA,Isabel de Farnesio,16,,,28660,AUDITORIO. ESCUELA DE MUSICA Y DANZA EN EL HALL DE ENTRADA,424721,4472840,DE LUNES A SABADO DE 8:00 A 21:00,2017-63
Establecimiento dependiente de una Administracion Publica,Publica,022,Boadilla del Monte,AVDA de Isabel de Farnesio 33  ,AVDA,Isabel de Farnesio,33,,,28660,BIBLIOTECA MUNICIPAL JOSE ORTEGA Y GASSET EN EL HALL DE ENTRADA,424974,4472408,L A V DE 9:00 A 22:00. S Y D: DE 10:00 A 22:00,2017-64
Centro educativo,Publica,022,Boadilla del Monte,CALLE de Federico Garcia Lorca 4  ,CALLE,Federico Garcia Lorca,4,,,28660,COLEGIO FEDERICO GARCIA LORCA EN EL HALL DE ENTRADA DEL EDIFICIO DE SECRETARIA,423876,4473337,DE 8:00 A 18:00 DE LUNES A VIERNES,2017-75
Centro educativo,Publica,022,Boadilla del Monte,CALLE de Gutierrez Soto 12  ,CALLE,Gutierrez Soto,12,,,28660,COLEGIO AGORA EN EL HALL DE ENTRADA,424084,4472645,DE 8:00 A 18:00 DE LUNES A VIERNES,2017-76
Centro educativo,Publica,022,Boadilla del Monte,CALLE de Tomas Breton 4  ,CALLE,Tomas Breton,4,,,28660,COLEGIO TERESA DE BERGANZA HALL DE ENTRADA DEL EDIFICIO PRINCIPAL,424795,4472847,DE 8:00 A 18:00 DE LUNES A VIERNES,2017-77
Centro educativo,Publica,022,Boadilla del Monte,CALLE Islas Cies S/N  ,CALLE,Islas Cies,S/N,,,28660,COLEGIO JOSE BERGAMIN EN EL HALL DE ENTRADA,424927,4476183,,2017-78
Centro educativo,Publica,022,Boadilla del Monte,CALLE de Juan Carlos I 40  ,CALLE,Juan Carlos I,40,,,28660,COLEGIO PRINCIPE DON FELIPE EN EL HALL DE ENTRADA DEL EDIFICIO PRINCIPAL,425466,4473322,DE 8:00 A 18:00 DE LUNES A VIERNES,2017-79
Otros,Publica,096,Navalcarnero,CALLE del Cuartel 9  ,CALLE,Cuartel,9,,,28600,PUESTO DE LA GUARDIA CIVIL DE NAVALCARNERO ,414073,4460318,,2017-122
Centro educativo,Publica,096,Navalcarnero,CALLE de Luis Zapata 3  ,CALLE,Luis Zapata,3,,,28600,CEIP CARLOS RUIZ EN EL HALL DE ENTRADA,414116,4460179,HORARIO LECTIVO,2017-124
Centro educativo,Publica,148,Torrejon de Ardoz,CALLE Cristal 2  ,CALLE,Cristal,2,,,28850,C.E.I.P. LA GAVIOTA ,460321,4478132,DE L A V NO FESTIVOS DE 9:00 A 16:00 HORAS,2017-138
Centro educativo,Publica,132,San Martin de la Vega,AVDA de Nuestra Senora de la Vega 6  ,AVDA,Nuestra Senora de la Vega,6,,,28330,C.E.I.P. JORGE GUILLEN EN LA SALA DE PROFESORES,450497,4451401,7:00 A 20:30,2017-141
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,113,Pinto,CALLE de Santa Teresa s/n  ,CALLE,Santa Teresa,s/n,,,28320,PABELLON DEPORTIVO PARQUE PINTO ENTRADA PRINCIPAL JUNTO A LA CONSERJERIA,440882,4454496,09:00 A 22:00,2017-14
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,113,Pinto,TRVA del Prado s/n  ,TRVA,Prado,s/n,,,28320,PISCINA MUNICIPAL ENTRADA PRINCIPAL JUNTO A BOTIQUIN,441201,4455983,09:00 A 22:00,2017-17
Establecimiento dependiente de una Administracion Publica,Publica,113,Pinto,CALLE de las Alpujarras s/n  ,CALLE, Alpujarras,s/n,,,28320,TEATRO FRANCISCO RABAL HALL PRINCIPAL JUNTO A ACCESO BUTACAS PARES,441007,4454866,SEGUN CARTELERA Y ACTOS,2017-19
Establecimiento dependiente de una Administracion Publica,Publica,022,Boadilla del Monte,CALLE de Victoria Eugenia de Battenberg 10  ,CALLE,Victoria Eugenia de Battenberg,10,,,28660,CENTRO DE FORMACION MUNICIPAL EN EL HALL DE ENTRADA,424947,4473594,DE LUNES A VIERNES DE 8:00 A 21:00,2017-59
Establecimiento dependiente de una Administracion Publica,Publica,022,Boadilla del Monte,CALLE de Francisco Alonso 2  ,CALLE,Francisco Alonso,2,,,28660,CENTRO DE EMPRESAS EN EL HALL DE ENTRADA,425123,4472591,DE L A V DE 8:00 A 21:00 SABADOS DE 9:00 A 13:00,2017-60
Establecimiento dependiente de una Administracion Publica,Publica,022,Boadilla del Monte,CALLE de los Martires 1  ,CALLE,los Martires,1,,,28660,BIBLIOTECA CENTRAL MUNICIPAL EN EL HALL DE ENTRADA,425693,4473237,DE LU A V 9:00 A 21:00 Y SABADOS 10:00 A 13:45,2017-61
Establecimiento dependiente de una Administracion Publica,Publica,022,Boadilla del Monte,CALLE de Francisco Asenjo Barbieri 2  ,CALLE,Francisco Asenjo Barbieri,2,,,28660,CASA DE LA JUVENTUD E INFANCIA EN EL HALL DE ENTRADA,424666,4472804,DE L A V DE 8:00 A 21:00 Y SABADOS DE 10:00 A 14:00 Y DE 17:00 A 21:00,2017-62
Centro educativo,Publica,005,Alcala de Henares,CMNO el Olivar 2 BAJA ,CMNO,el Olivar,2,BAJA,,28806,CEIP FRANCISCO TOMAS Y VALIENTE VESTIBULO PLANTA BAJA,458850,4469534,DE 7:00 A 19:00 HORAS,2017-86
Otros,Publica,079,Madrid,AVDA de Cantabria 52  ,AVDA,Cantabria,52,,,28042,"CENTRO DE INVESTIGACION Y CONTROL DE LA CALIDAD. AGENCIA ESPANOLA DE CONSUMO, SEGURIDAD ALIMENTARIA Y NUTRICION",450591,4478948,HORARIO LABORAL DE LA AGE,2017-102
Aeropuertos,Publica,079,Madrid,CTRA del Barrio de la Fortuna s/n  ,CTRA,Barrio de la Fortuna,s/n,,,,AENA SME SA ENTRADA DE EDIFICIO TERMINAL,433726,4468955,DE 6:00 A24:00,2017-107
Establecimiento dependiente de una Administracion Publica,Publica,049,Coslada,AVDA de los Principes de Espana 8  ,AVDA,los Principes de Espana,8,,,28823,CENTRO DE MAYORES LA RAMBLA. AYUNTAMIENTO COSLADA EN LA CONSERJERIA,453229,4475243,L A V DE 10 A 21 S Y D 10 A 14 Y 16:30 20:30,2017-230
Establecimiento dependiente de una Administracion Publica,Publica,049,Coslada,CALLE del Poniente 19  ,CALLE,Poniente,19,,,28823,CENTRO DE MAYORES LA CANADA. AYUNTAMIENTO COSLADA EN LA CAFETERIA,454284,4475298,L A V 10 A 21 S Y D 10 A 14 Y 16:30 A 20:30,2017-231
Establecimiento dependiente de una Administracion Publica,Publica,008,Aldea del Fresno,PLAZA Constitucion 7  ,PLAZA,Constitucion,7,,,28620,DISPOSITIVO MOVIL. EN EL COCHE DE LA POLICIA LOCAL AYUNTAMIENTO DE ALDEA DEL FRESNO,397789,4464489,24H,2017-236
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE del Hierro 27  ,CALLE,Hierro,27,,,28045,PUESTO DE INFORMACION DE LA OFICINA AGENCIA TRIBUTARIA DE MADRID,441400,4471346,DE 8 A 17,2017-323
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Raimundo Fernandez Villaverde 32  ,CALLE,Raimundo Fernandez Villaverde,32,,,28003,PUESTO DE CONTROL DE LA OFICINA ORGANISMO AUTONOMO AGENCIA TRIBUTARIA DE MADRID,440731,4477507,DE 8 A 17,2017-324
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Maudes 17  ,CALLE,Maudes,17,,,28003,"HALL DE ENTRADA. SECRETARIA GENERAL TECNICA CONSEJERIA DE TRANSPORTES, VIVIENDA E INFRAESTRUCTURAS",440544,4477443,,2017-293
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE del Sacramento 1  ,CALLE,Sacramento,1,,,28005,PUESTO DE CONTROL DE SEGURIDAD ORGANISMO AUTONOMO AGENCIA TRIBUTARIA DE MADRID,439708,4473987,8 A 17,2017-326
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,127,Las Rozas de Madrid,CMNO Garzo 79  ,CMNO,Garzo,79,,,28290,EN SERVICIO MEDICO DE POLIDEPORTIVO MUNICIPAL SAN JOSE DE LAS MATAS. AYUNTAMIENTO DE LAS ROZAS,424966,4489677,8 A 22:30,2017-359
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,079,Madrid,CALLE de Valdebernardo 2  ,CALLE,Valdebernardo,2,,,28030,CENTRO DEPORTIVO MUNICIPAL MORATALAZ.HALL DE ENTRADA AYTO. MORATALAZ,446330,4472168,,2018-20
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,079,Madrid,PASEO del Polideportivo 3 1ª ,PASEO,Polideportivo,3,1ª,,28032,CENTRO DEPORTIVO MUNICIPAL VICALVARO.PASILLO HALL AYTO. MADRID,448797,4473372,,2018-24
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,079,Madrid,AVDA de Monforte de Lemos 38-A  ,AVDA,Monforte de Lemos,38-A,,,,CENTRO DEPORTIVO MUNICIPAL LA VAGUADA. EN HALL DE ENTRADA AYTO. MADRID,439897,4481184,,2018-26
Establecimiento dependiente de una Administracion Publica,Publica,008,Aldea del Fresno,PLAZA Constitucion 1 BAJA ,PLAZA,Constitucion,1,BAJA,,28620,PLANTA BAJA JUNTO AL MOSTRADOR DE RECEPCION DEPENDENCIAS MUNICIPALES. AYUNTAMIENTO DE ALDEA DEL FRESNO,397786,4464496,,2017-232
Centro de trabajo con mas de 250 trabajadores,Publica,079,Madrid,CALLE de la Castellana 278 CERO ,CALLE,Castellana,278,CERO,,28032, ICEX ESPANA EXPORTACION E INVERSIONES,441844,4480778,TODO EL DIA,2017-268
